OrderDate,Quantity
20160527,147
20160528,237
20160529,170
20160530,158
20160531,94
20160601,138
20160602,47
20160603,172
20160604,211
20160605,88
20160606,27
20160607,21
20160608,29
20160609,51
20160610,122
20160611,193
20160612,101
20160613,42
20160614,52
20160615,60
20160616,54
20160617,211
20160618,181
20160619,144
20160726,38
20160727,59
20160728,62
20160729,129
20160730,204
20160731,21
20160802,25
20160803,40
20160804,23
20160805,116
20160806,134
20160807,120
20160808,27
20160809,26
20160810,55
20160811,79
20160812,124
20160813,124
20160814,102
20160815,26
20160816,62
20160817,62
20160818,81
20160819,156
20160820,157
20160821,87
20160822,61
20160823,24
20160824,31
20160825,126
20160826,77
20160827,200
20160828,173
20160829,90
20160830,49
20160831,101
20160901,74
20160902,161
20160903,297
20160904,83
20160905,24
20160906,73
20160907,32
20160908,46
20160909,203
20160910,145
20160911,86
20160912,45
20160913,29
20160914,47
20160915,33
20160916,173
20160917,293
20160918,113
20160919,23
20160920,37
20160921,27
20160922,60
20160923,123
20160924,338
20160925,107
20160926,41
20160927,97
20160928,92
20160929,60
20160930,207
20161001,288
20161002,148
20161003,40
20161004,41
20161005,65
20161006,36
20161007,180
20161008,277
20161009,138
20161010,48
20161011,31
20161012,33
20161013,59
20161014,132
20161015,283
20161016,79
20161017,44
20161018,2
20161019,87
20161020,97
20161021,148
20161022,294
20161023,94
20161024,51
20161025,20
20161026,90
20161027,41
20161028,243
20161029,316
20161030,120
20161031,48
20161101,44
20161102,26
20161103,78
20161104,242
20161105,214
20161106,144
20161107,51
20161108,36
20161109,63
20161110,77
20161111,141
20161112,267
20161113,114
20161114,23
20161115,69
20161116,87
20161117,85
20161118,222
20161119,353
20161120,131
20161121,13
20161122,31
20161123,75
20161124,45
20161125,115
20161126,319
20161127,125
20161128,66
20161129,35
20161130,63
20161201,52
20161202,133
20161203,295
20161204,141
20161205,55
20161206,47
20161207,79
20161208,75
20161209,76
20161210,275
20161211,141
20161212,71
20161213,38
20161214,69
20161215,109
20161216,202
20161217,249
20161218,195
20161219,84
20161220,100
20161221,73
20161222,106
20161223,136
20161224,214
20161225,12
20161226,87
20161227,155
20161228,51
20161229,187
20161230,172
20161231,293
20170101,192
20170102,177
20170103,60
20170104,54
20170105,10
20170106,216
20170107,340
20170108,137
20170109,70
20170110,62
20170111,71
20170112,54
20170113,155
20170114,265
20170115,142
20170116,16
20170117,80
20170118,33
20170119,56
20170120,138
20170121,293
20170122,125
20170123,68
20170124,43
20170125,16
20170126,83
20170127,196
20170128,362
20170129,131
20170130,28
20170131,42
20170201,41
20170202,118
20170203,114
20170204,289
20170205,199
20170206,18
20170207,19
20170208,27
20170209,38
20170210,150
20170211,309
20170212,76
20170213,110
20170214,229
20170215,48
20170216,55
20170217,218
20170218,254
20170219,153
20170220,68
20170221,105
20170222,62
20170223,59
20170224,218
20170225,229
20170226,81
20170227,79
20170228,18
20170301,28
20170302,55
20170303,197
20170304,341
20170305,151
20170306,53
20170307,56
20170308,47
20170309,23
20170310,166
20170311,243
20170312,139
20170313,47
20170314,82
20170315,49
20170316,121
20170317,204
20170318,269
20170319,139
20170320,70
20170321,5
20170322,53
20170323,33
20170324,163
20170325,274
20170326,215
20170327,55
20170328,28
20170329,26
20170330,112
20170331,212
20170401,277
20170402,153
20170403,42
20170404,111
20170405,42
20170406,89
20170407,137
20170408,296
20170409,89
20170410,59
20170411,58
20170412,85
20170413,95
20170414,103
20170415,291
20170416,102
20170417,128
20170418,45
20170419,49
20170420,45
20170421,192
20170422,321
20170423,76
20170424,55
20170425,44
20170426,66
20170427,100
20170428,152
20170429,304
20170430,125
20170501,165
20170502,26
20170503,26
20170504,61
20170505,211
20170506,343
20170507,146
20170508,32
20170509,50
20170510,72
20170511,55
20170512,203
20170513,307
20170514,76
20170515,62
20170516,36
20170517,38
20170518,69
20170519,212
20170520,411
20170521,110
20170522,26
20170523,53
20170524,41
20170525,56
20170526,160
20170527,233
20170528,171
20170529,131
20170530,100
20170531,65
20170601,69
20170602,118
20170603,243
20170604,94
20170605,62
20170606,15
20170607,34
20170608,53
20170609,229
20170610,246
20170611,87
20170612,47
20170613,60
20170614,31
20170615,88
20170616,89
20170617,221
20170618,210
20170619,25
20170620,64
20170621,49
20170622,73
20170623,163
20170624,326
20170625,155
20170626,39
20170627,62
20170628,120
20170629,60
20170630,144
20170701,255
20170702,174
20170703,43
20170704,92
20170705,72
20170706,60
20170707,157
20170708,191
20170709,78
20170710,34
20170711,67
20170712,123
20170713,81
20170714,157
20170715,289
20170716,120
20170717,26
20170718,51
20170719,60
20170720,67
20170721,167
20170722,208
20170723,103
20170724,57
20170725,47
20170726,110
20170727,37
20170728,165
20170729,244
20170730,124
20170731,21
20170801,75
20170802,80
20170803,40
20170804,202
20170805,319
20170806,78
20170807,53
20170808,66
20170809,80
20170810,110
20170811,176
20170812,370
20170813,109
20170814,64
20170815,97
20170816,53
20170817,50
20170818,177
20170819,232
20170820,178
20170821,50
20170822,75
20170823,39
20170824,121
20170825,114
20170826,356
20170827,194
20170828,124
20170829,50
20170830,41
20170831,63
20170901,210
20170902,261
20170903,116
20170904,49
20170905,23
20170906,59
20170907,37
20170908,188
20170909,327
20170910,175
20170911,57
20170912,47
20170913,28
20170914,85
20170915,197
20170916,309
20170917,104
20170918,41
20170919,87
20170920,20
20170921,90
20170922,198
20170923,302
20170924,123
20170925,81
20170926,71
20170927,79
20170928,91
20170929,219
20170930,338
20171001,119
20171002,61
20171003,52
20171004,45
20171005,106
20171006,160
20171007,382
20171008,180
20171009,17
20171010,54
20171011,46
20171012,79
20171013,200
20171014,369
20171015,110
20171016,37
20171017,56
20171018,28
20171019,76
20171020,181
20171021,262
20171022,181
20171023,55
20171024,71
20171025,90
20171026,72
20171027,252
20171028,273
20171029,130
20171030,68
20171031,56
20171101,73
20171102,65
20171103,166
20171104,260
20171105,125
20171106,45
20171107,31
20171108,68
20171109,39
20171110,225
20171111,276
20171112,139
20171113,78
20171114,64
20171115,95
20171116,26
20171117,207
20171118,384
20171119,78
20171120,58
20171121,14
20171122,32
20171123,97
20171124,301
20171125,311
20171126,114
20171127,43
20171128,35
20171129,92
20171130,92
20171201,304
20171202,322
20171203,133
20171204,86
20171205,94
20171206,106
20171207,28
20171208,225
20171209,256
20171210,210
20171211,42
20171212,67
20171213,53
20171214,60
20171215,293
20171216,296
20171217,73
20171218,86
20171219,95
20171220,125
20171221,87
20171222,275
20171223,337
20171224,252
20171226,64
20171227,115
20171228,136
20171229,198
20171230,228
20171231,406
20180101,258
20180102,71
20180103,74
20180104,69
20180105,161
20180106,346
20180107,149
20180108,44
20180109,35
20180110,75
20180111,27
20180112,155
20180113,372
20180114,94
20180115,41
20180116,56
20180117,66
20180118,40
20180119,174
20180120,296
20180121,148
20180122,100
20180123,43
20180124,95
20180125,123
20180126,220
20180127,255
20180128,190
20180129,60
20180130,64
20180131,96
20180201,48
20180202,268
20180203,466
20180204,71
20180205,113
20180206,33
20180207,55
20180208,40
20180209,190
20180210,421
20180211,139
20180212,52
20180213,45
20180214,448
20180215,5
20180216,112
20180217,294
20180218,55
20180219,91
20180220,79
20180221,62
20180222,72
20180223,201
20180224,410
20180225,136
20180226,59
20180227,39
20180228,113
20180301,171
20180302,276
20180303,487
20180304,85
20180305,46
20180306,27
20180307,37
20180308,103
20180309,182
20180310,424
20180311,313
20180312,33
20180313,69
20180314,50
20180315,46
20180316,242
20180317,323
20180318,126
20180319,37
20180320,33
20180321,24
20180322,71
20180323,250
20180324,308
20180325,73
20180326,15
20180327,109
20180328,60
20180329,137
20180330,218
20180331,318
20180401,112
20180402,190
20180403,78
20180404,74
20180405,64
20180406,145
20180407,284
20180408,57
20180415,61
20180416,29
20180417,73
20180418,26
20180419,56
20180420,101
20180421,216
20180422,128
20180423,50
20180424,111
20180425,85
20180426,87
20180427,291
20180428,337
20180429,162
20180430,52
20180501,65
20180502,33
20180503,103
20180504,166
20180505,268
20180506,133
20180507,89
20180508,63
20180509,56
20180510,77
20180511,174
20180512,311
20180513,235
20180514,31
20180515,32
20180516,45
20180517,59
20180518,270
20180519,264
20180520,163
20180521,35
20180522,17
20180523,62
20180524,118
20180525,227
20180526,289
20180527,122
20180528,114
20180529,100
20180530,74
20180531,109
20180601,184
20180602,295
20180603,151
20180604,51
20180605,42
20180606,51
20180607,67
20180608,198
20180609,318
20180610,160
20180611,36
20180612,79
20180613,56
20180614,85
20180615,299
20180616,268
20180617,275
20180618,59
20180619,88
20180620,44
20180621,86
20180622,141
20180623,317
20180624,141
20180625,85
20180626,57
20180627,69
20180628,128
20180629,164
20180630,250
20180701,136
20180702,41
20180703,62
20180704,39
20180705,71
20180706,210
20180707,252
20180708,152
20180709,61
20180710,39
20180711,154
20180712,166
20180713,175
20180714,278
20180715,118
20180716,14
20180717,69
20180718,60
20180719,86
20180720,208
20180721,258
20180722,140
20180723,67
20180724,43
20180725,64
20180726,119
20180727,145
20180728,343
20180729,164
20180730,49
20180731,85
20180801,52
20180802,106
20180803,160
20180804,268
20180805,148
20180806,66
20180807,107
20180808,79
20180809,95
20180810,176
20180811,358
20180812,191
20180813,84
20180814,47
20180815,136
20180816,70
20180817,216
20180818,373
20180819,106
20180820,86
20180821,73
20180822,77
20180823,128
20180824,211
20180825,261
20180826,165
20180827,235
20180828,92
20180829,42
20180830,144
20180831,164
20180901,346
20180902,97
20180903,107
20180904,109
20180905,98
20180906,155
20180907,188
20180908,376
20180909,113
20180910,44
20180911,47
20180912,46
20180913,91
20180914,256
20180915,324
20180916,131
20180917,40
20180918,26
20180919,93
20180920,124
20180921,131
20180922,432
20180923,214
20180924,143
20180925,28
20180926,58
20180927,134
20180928,274
20180929,360
20180930,159
20181001,87
20181002,43
20181003,26
20181004,89
20181005,323
20181006,478
20181007,196
20181008,235
20181009,36
20181010,56
20181011,66
20181012,228
20181013,343
20181014,161
20181015,91
20181016,52
20181017,89
20181018,128
20181019,235
20181020,414
20181021,123
20181022,50
20181023,69
20181024,58
20181025,91
20181026,207
20181027,324
20181028,125
20181029,89
20181030,84
20181031,132
20181101,83
20181102,276
20181103,345
20181104,156
20181105,67
20181106,115
20181107,103
20181108,67
20181109,190
20181110,319
20181111,119
20181112,89
20181113,61
20181114,44
20181115,54
20181116,318
20181117,242
20181118,180
20181119,69
20181120,64
20181121,57
20181122,47
20181123,206
20181124,336
20181125,108
20181126,77
20181127,38
20181128,101
20181129,48
20181130,228
20181201,340
20181202,165
20181203,28
20181204,35
20181205,47
20181206,57
20181207,270
20181208,230
20181209,153
20181210,61
20181211,38
20181212,45
20181213,76
20181214,266
20181215,412
20181216,172
20181217,73
20181218,44
20181219,146
20181220,130
20181221,249
20181222,402
20181223,141
20181224,324
20181226,62
20181227,220
20181228,146
20181229,219
20181230,183
20181231,409
20190101,119
20190102,81
20190103,56
20190104,257
20190105,275
20190106,98
20190107,70
20190108,70
20190109,125
20190110,56
20190111,166
20190112,402
20190113,88
20190114,79
20190115,69
20190116,49
20190117,52
20190118,191
20190119,496
20190120,102
20190121,56
20190122,59
20190123,67
20190124,49
20190125,233
20190126,350
20190127,130
20190128,48
20190129,77
20190130,125
20190131,123
20190201,223
20190202,380
20190203,143
20190204,68
20190205,67
20190206,81
20190207,53
20190208,270
20190209,273
20190210,159
20190211,28
20190212,65
20190213,29
20190214,337
20190215,206
20190216,446
20190217,183
20190218,75
20190219,106
20190220,64
20190221,138
20190222,207
20190223,372
20190224,177
20190225,47
20190226,222
20190227,77
20190228,120
20190301,233
20190302,509
20190303,166
20190304,88
20190305,42
20190306,57
20190307,59
20190308,244
20190309,445
20190310,93
20190311,73
20190312,83
20190313,73
20190314,149
20190315,151
20190316,417
20190317,159
20190318,30
20190319,68
20190320,63
20190321,56
20190322,199
20190323,398
20190324,132
20190325,33
20190326,104
20190327,89
20190328,117
20190329,262
20190330,328
20190331,342
20190401,39
20190402,88
20190403,78
20190404,114
20190405,245
20190406,380
20190407,143
20190408,52
20190409,87
20190410,103
20190411,107
20190412,196
20190413,317
20190414,219
20190415,99
20190416,83
20190417,114
20190418,117
20190419,187
20190420,198
20190421,137
20190422,206
20190423,58
20190424,69
20190425,59
20190426,142
20190427,332
20190428,125
20190429,44
20190430,122
20190501,43
20190502,124
20190503,270
20190504,384
20190505,148
20190506,141
20190507,33
20190508,80
20190509,118
20190510,134
20190511,449
20190512,149
20190513,37
20190514,22
20190515,153
20190516,129
20190517,297
20190518,353
20190519,150
20190520,60
20190521,55
20190522,70
20190523,116
20190524,227
20190525,395
20190526,137
20190527,139
20190528,74
20190529,91
20190530,103
20190531,213
20190601,328
20190602,168
20190603,33
20190604,105
20190605,62
20190606,52
20190607,250
20190608,349
20190609,186
20190610,70
20190611,19
20190612,93
20190613,104
20190614,243
20190615,371
20190616,271
20190617,57
20190618,114
20190619,79
20190620,104
20190621,228
20190622,190
20190623,160
20190624,34
20190625,39
20190626,104
20190627,77
20190628,293
20190629,301
20190630,161
20190701,89
20190702,102
20190703,61
20190704,156
20190705,220
20190706,288
20190707,102
20190708,48
20190709,76
20190710,79
20190711,129
20190712,183
20190713,214
20190714,133
20190715,70
20190716,112
20190717,67
20190718,125
20190719,230
20190720,263
20190721,104
20190722,58
20190723,61
20190724,63
20190725,145
20190726,200
20190727,299
20190728,182
20190729,67
20190730,109
20190731,29
20190801,99
20190802,168
20190803,302
